Description,NES,p.adjust,cell_type,negLog_padjust
TNFA SIGNALING VIA NFKB,-3.636991740088652,3.7e-9,EC,8.431798275933005
ALLOGRAFT REJECTION,-2.742244282688567,6.416959721652247e-7,EC,6.192670686705236
INFLAMMATORY RESPONSE,-2.679119759154507,6.416959721652247e-7,EC,6.192670686705236
HYPOXIA,-2.66198423185599,6.493195991725422e-7,EC,6.1875414881113455
INTERFERON GAMMA RESPONSE,-2.464292483576479,8.358798048047276e-6,EC,5.077856167373103
IL6 JAK STAT3 SIGNALING,-2.5046438583151938,2.7950795738297e-5,EC,4.55360582356174
IL2 STAT5 SIGNALING,-2.074522512366588,0.0053012803117182625,EC,2.2756192313114196
P53 PATHWAY,-1.922219805844269,0.0156828664737426,EC,1.8045745551750005
MTORC1 SIGNALING,-1.8186345312838852,0.03460409715948568,EC,1.460872477264676
APOPTOSIS,-1.7682422968382105,0.03460409715948568,EC,1.460872477264676
KRAS SIGNALING UP,-1.827300873046653,0.038585108043616416,EC,1.413580279327965
UV RESPONSE UP,-1.7600059156731245,0.04043782824170315,EC,1.3932121767202856
TNFA SIGNALING VIA NFKB,-2.777577100176683,7.906653885085134e-4,VSMC,3.10200727209002
ESTROGEN RESPONSE EARLY,2.242162822185728,0.01757633412256033,VSMC,1.7550717001587233
TNFA SIGNALING VIA NFKB,-5.125233572999591,3.2e-9,Macrophage,8.494850021680094
INFLAMMATORY RESPONSE,-3.1267384442680233,8.022756806950623e-6,Macrophage,5.095676372324508
IL6 JAK STAT3 SIGNALING,-2.9182661416709794,2.5194526297322526e-5,Macrophage,4.598693802753456
INTERFERON GAMMA RESPONSE,-2.798259611369698,7.046699858925293e-5,Macrophage,4.152014226074535
ALLOGRAFT REJECTION,-2.5440129540493004,5.650349156465597e-4,Macrophage,3.247924714651158
EPITHELIAL MESENCHYMAL TRANSITION,-2.4305186670741405,7.852007969439527e-4,Macrophage,3.1050192682821876
HYPOXIA,-2.4605658224109783,0.0011927894616772365,Macrophage,2.923436206540007
TNFA SIGNALING VIA NFKB,-5.439942255622573,2.3936983424810552e-9,Fibroblasts,8.620930580934822
APOPTOSIS,-3.700254680014483,2.3936983424810552e-9,Fibroblasts,8.620930580934822
HYPOXIA,-3.5932253159719223,7.002907440468696e-9,Fibroblasts,8.154721613814703
UV RESPONSE UP,-3.1757679857570262,1.180937666266931e-6,Fibroblasts,5.927773025257568
MYC TARGETS V1,-3.067348049607671,1.180937666266931e-6,Fibroblasts,5.927773025257568
INTERFERON GAMMA RESPONSE,-2.9023877140720136,1.601367420186642e-5,Fibroblasts,4.795509011458357
P53 PATHWAY,-2.642244012029192,8.276433303349506e-5,Fibroblasts,4.082156780412347
MTORC1 SIGNALING,-2.4544884955252884,9.216186048886222e-4,Fibroblasts,3.0354487666477423
MITOTIC SPINDLE,2.1776775002356707,0.001868318386908599,Fibroblasts,2.7285491121021854
ANDROGEN RESPONSE,2.103007300548561,0.002690430831579833,Fibroblasts,2.5701781687724177
EPITHELIAL MESENCHYMAL TRANSITION,-1.9850292242880847,0.009223914590223247,Fibroblasts,2.0350847270887344
XENOBIOTIC METABOLISM,-1.746017263874505,0.04696041618374903,Fibroblasts,1.3282680628357244
E2F TARGETS,-2.3924346506624623,0.0017164168917661476,T cells,2.7653772200979247
MYC TARGETS V1,-2.297948776340749,0.0018495116812523582,T cells,2.7329429213978327
G2M CHECKPOINT,-2.134468298337997,0.0026950734491376226,T cells,2.5694293944399518
OXIDATIVE PHOSPHORYLATION,2.314714178902453,3.0037959068368895e-4,B cells,3.522329578840197
ADIPOGENESIS,2.264445012157242,7.354122971400325e-4,B cells,3.1334691123847414
APICAL JUNCTION,2.0042797462412874,0.011364592396349241,B cells,1.9444461361106602
INTERFERON GAMMA RESPONSE,-1.9712490278741204,0.011364592396349241,B cells,1.9444461361106602
ALLOGRAFT REJECTION,-1.755426119543697,0.035619400263475265,B cells,1.4483133971820403
UV RESPONSE UP,1.8762934573272636,0.036754756253951595,B cells,1.4346864530100076
GLYCOLYSIS,1.797567135264163,0.04766314324518547,B cells,1.3218173205916117
ESTROGEN RESPONSE LATE,1.794685708255855,0.04766314324518547,B cells,1.3218173205916117
TNFA SIGNALING VIA NFKB,2.193945051078701,1.573754651156512e-4,Neutrophils,3.8030629733456394
