group,total,cell_type,count,cluster.ratio
WT_Week0,13543,Fibroblasts,5829,0.430406852248394
WT_Week0,13543,Macrophages,4091,0.30207487262792587
WT_Week0,13543,VSMCs,2106,0.1555046887691058
WT_Week0,13543,ECs,1126,0.08314258288414679
WT_Week0,13543,T cells,219,0.016170715498781657
WT_Week0,13543,B cells,142,0.01048512146496345
WT_Week0,13543,Neutrophils,30,0.002215166506682419
Het_Week0,13765,Fibroblasts,5236,0.38038503450780964
Het_Week0,13765,Macrophages,5386,0.3912822375590265
Het_Week0,13765,VSMCs,1476,0.10722847802397385
Het_Week0,13765,ECs,1251,0.09088267344714857
Het_Week0,13765,T cells,180,0.013076643661460226
Het_Week0,13765,B cells,145,0.010533962949509626
Het_Week0,13765,Neutrophils,91,0.006610969851071558
WT_Week12,12032,Fibroblasts,4658,0.3871343085106383
WT_Week12,12032,Macrophages,5107,0.42445146276595747
WT_Week12,12032,VSMCs,600,0.049867021276595744
WT_Week12,12032,ECs,989,0.08219747340425532
WT_Week12,12032,T cells,410,0.03407579787234043
WT_Week12,12032,B cells,105,0.008726728723404254
WT_Week12,12032,Neutrophils,163,0.01354720744680851
Het_Week12,11735,Fibroblasts,4582,0.3904559011504048
Het_Week12,11735,Macrophages,4564,0.3889220281210055
Het_Week12,11735,VSMCs,847,0.07217724755006391
Het_Week12,11735,ECs,1056,0.089987217724755
Het_Week12,11735,T cells,410,0.03493821900298253
Het_Week12,11735,B cells,138,0.01175969322539412
Het_Week12,11735,Neutrophils,138,0.01175969322539412
