group,total_ECs,cell_type,count,cluster.ratio
WT_Week0,1126,EC1.1,615,0.5461811722912966
WT_Week0,1126,EC1.2,398,0.35346358792184723
WT_Week0,1126,EC1.3,26,0.023090586145648313
WT_Week0,1126,EC2,30,0.02664298401420959
WT_Week0,1126,EC3,57,0.050621669626998225
Het_Week0,1251,EC1.1,811,0.64828137490008
Het_Week0,1251,EC1.2,299,0.2390087929656275
Het_Week0,1251,EC1.3,13,0.010391686650679457
Het_Week0,1251,EC2,90,0.07194244604316546
Het_Week0,1251,EC3,38,0.030375699440447643
WT_Week12,989,EC1.1,491,0.49646107178968657
WT_Week12,989,EC1.2,279,0.282103134479272
WT_Week12,989,EC1.3,128,0.12942366026289182
WT_Week12,989,EC2,51,0.05156723963599596
WT_Week12,989,EC3,40,0.04044489383215369
Het_Week12,1056,EC1.1,350,0.3314393939393939
Het_Week12,1056,EC1.2,536,0.5075757575757576
Het_Week12,1056,EC1.3,81,0.07670454545454546
Het_Week12,1056,EC2,39,0.036931818181818184
Het_Week12,1056,EC3,50,0.04734848484848485
